RPM,MAP,VE New Rear,VE New Front,,,,,,,,,,,,,,,,
2775,44.62,83,82,,,,,,,,,,,,,,,,
2787,44.62,83.5,82,,,,,,,,,,,,,,,,
2826,44.25,84,83.5,,,,,,,,,,,,,,,,
2831,43.88,83.5,82,,,,,,,,,,,,,,,,
2859,43.88,83,82,,,,,,,,,,,,,,,,
2876,43.51,83,81.5,,,,,,,,,,,,,,,,
2878,44.25,84.5,82.5,,,,,,,,,,,,,,,,
2915,43.88,84,83.5,,,,,,,,,,,,,,,,
2934,43.14,82,84,,,,,,,,,,,,,,,,
2944,42.77,83,83,,,,,,,,,,,,,,,,
2980,42.03,81.5,82.5,,,,,,,,,,,,,,,,
2978,42.4,80.5,83.5,,,,,,,,,,,,,,,,
3006,42.03,81.5,83.5,,,,,,,,,,,,,,,,
3012,42.03,81,83.5,,,,,,,,,,,,,,,,
3041,42.03,80.5,83.5,,,,,,,,,,,,,,,,
3055,42.03,80,83.5,,,,,,,,,,,,,,,,
3069,41.3,79.5,84,,,,,,,,,,,,,,,,
3086,41.67,79,83,,,,,,,,,,,,,,,,
3112,40.93,78.5,83,,,,,,,,,,,,,,,,
3112,40.93,78.5,83.5,,,,,,,,,,,,,,,,
3159,40.19,79,83.5,,,,,,,,,,,,,,,,
3144,40.56,79,83,,,,,,,,,,,,,,,,
3184,40.56,79,85,,,,,,,,,,,,,,,,
3215,42.4,79,84.5,,,,,,,,,,,,,,,,
3240,47.2,80.5,84.5,,,,,,,,,,,,,,,,
3269,50.52,80.5,86.5,,,,,,,,,,,,,,,,
3289,50.89,79.5,87,,,,,,,,,,,,,,,,
3324,50.89,80,89,,,,,,,,,,,,,,,,
3351,51.26,81.5,89.5,,,,,,,,,,,,,,,,
3394,53.84,82.5,91,,,,,,,,,,,,,,,,
3425,55.32,82,92,,,,,,,,,,,,,,,,
3461,56.79,83,91.5,,,,,,,,,,,,,,,,
3505,56.42,86.5,94,,,,,,,,,,,,,,,,
3543,58.64,84.5,92,,,,,,,,,,,,,,,,
3379,23.95,98.5,97.5,,,,,,,,,,,,,,,,
3248,18.42,85,91,,,,,,,,,,,,,,,,
3087,18.05,92,88.5,,,,,,,,,,,,,,,,
2927,18.05,98,100,,,,,,,,,,,,,,,,
2864,17.31,76.5,78,,,,,,,,,,,,,,,,
2744,17.31,85,97,,,,,,,,,,,,,,,,
2582,17.68,95,78.5,,,,,,,,,,,,,,,,
2501,21.74,69,77.5,,,,,,,,,,,,,,,,
2677,26.17,70,82.5,,,,,,,,,,,,,,,,
2633,29.86,73,88,,,,,,,,,,,,,,,,
2570,32.07,78,94,,,,,,,,,,,,,,,,
2625,40.19,78,81.5,,,,,,,,,,,,,,,,
2608,47.57,82.5,83.5,,,,,,,,,,,,,,,,
2635,52.73,88.5,89.5,,,,,,,,,,,,,,,,
2639,55.69,87,86.5,,,,,,,,,,,,,,,,
2659,56.42,85.5,85,,,,,,,,,,,,,,,,
2666,56.79,84.5,83,,,,,,,,,,,,,,,,
2685,56.42,85.5,83.5,,,,,,,,,,,,,,,,
2691,56.79,85.5,84,,,,,,,,,,,,,,,,
2721,56.06,85,83,,,,,,,,,,,,,,,,
2737,55.69,85,82.5,,,,,,,,,,,,,,,,
2754,55.32,85.5,82.5,,,,,,,,,,,,,,,,
2763,55.69,85,82,,,,,,,,,,,,,,,,
2781,55.32,85.5,82.5,,,,,,,,,,,,,,,,
2802,54.95,85.5,82,,,,,,,,,,,,,,,,
2820,54.58,85.5,82,,,,,,,,,,,,,,,,
2832,54.95,85.5,81,,,,,,,,,,,,,,,,
2842,54.95,85.5,84,,,,,,,,,,,,,,,,
2866,53.84,85.5,83.5,,,,,,,,,,,,,,,,
2881,54.21,85,83.5,,,,,,,,,,,,,,,,
2899,53.84,84,83.5,,,,,,,,,,,,,,,,
2905,55.32,84.5,82.5,,,,,,,,,,,,,,,,
2924,55.32,86,84,,,,,,,,,,,,,,,,
2946,55.32,85,83.5,,,,,,,,,,,,,,,,
2961,54.95,84,85,,,,,,,,,,,,,,,,
2980,54.58,84,85.5,,,,,,,,,,,,,,,,
2994,54.95,83.5,84.5,,,,,,,,,,,,,,,,
3001,54.95,84,85.5,,,,,,,,,,,,,,,,
3035,54.21,83.5,85,,,,,,,,,,,,,,,,
3045,53.84,82.5,86,,,,,,,,,,,,,,,,
3064,54.21,83,86.5,,,,,,,,,,,,,,,,
3085,53.47,83,86.5,,,,,,,,,,,,,,,,
3084,53.47,82.5,86,,,,,,,,,,,,,,,,
3115,53.47,82,86.5,,,,,,,,,,,,,,,,
3113,53.1,82,86.5,,,,,,,,,,,,,,,,
3121,53.47,82,86,,,,,,,,,,,,,,,,
3149,52.37,81.5,86.5,,,,,,,,,,,,,,,,
3153,52.37,81,87.5,,,,,,,,,,,,,,,,
3173,52,82,88.5,,,,,,,,,,,,,,,,
3192,52,81,87.5,,,,,,,,,,,,,,,,
3215,51.63,81,88,,,,,,,,,,,,,,,,
3229,51.63,80.5,88,,,,,,,,,,,,,,,,
3235,51.63,81.5,89.5,,,,,,,,,,,,,,,,
3258,51.63,81.5,89.5,,,,,,,,,,,,,,,,
3263,52,81,89,,,,,,,,,,,,,,,,
3289,56.06,82,90.5,,,,,,,,,,,,,,,,
3294,57.53,82.5,90.5,,,,,,,,,,,,,,,,
3314,59.01,82.5,90.5,,,,,,,,,,,,,,,,
3342,59.75,82,90,,,,,,,,,,,,,,,,
3345,60.48,83.5,91.5,,,,,,,,,,,,,,,,
3372,59.75,84,92,,,,,,,,,,,,,,,,
3382,59.01,85,94.5,,,,,,,,,,,,,,,,
3395,59.01,86,96.5,,,,,,,,,,,,,,,,
3423,58.27,90,92,,,,,,,,,,,,,,,,
3424,58.64,92.5,97,,,,,,,,,,,,,,,,
3456,57.9,90.5,99,,,,,,,,,,,,,,,,
3475,57.9,86.5,96.5,,,,,,,,,,,,,,,,
3488,57.53,91,96.5,,,,,,,,,,,,,,,,
3504,57.53,90,101.5,,,,,,,,,,,,,,,,
3531,57.16,92.5,97,,,,,,,,,,,,,,,,
3538,57.16,93.5,99.5,,,,,,,,,,,,,,,,
3557,57.53,92.5,94.5,,,,,,,,,,,,,,,,
3588,60.11,93.5,98.5,,,,,,,,,,,,,,,,
3621,67.5,93.5,102,,,,,,,,,,,,,,,,
3627,69.71,92.5,99.5,,,,,,,,,,,,,,,,
3667,72.29,93.5,100,,,,,,,,,,,,,,,,
3686,72.29,92.5,100,,,,,,,,,,,,,,,,
3703,55.32,92,104,,,,,,,,,,,,,,,,
3506,27.64,83.5,88.5,,,,,,,,,,,,,,,,
3467,21.74,63,73.5,,,,,,,,,,,,,,,,
3351,18.79,88,84,,,,,,,,,,,,,,,,
3178,18.05,100,97.5,,,,,,,,,,,,,,,,
3085,17.31,79,79,,,,,,,,,,,,,,,,
2931,17.68,96,78.5,,,,,,,,,,,,,,,,
2926,25.8,69.5,84,,,,,,,,,,,,,,,,
3007,32.07,77.5,89.5,,,,,,,,,,,,,,,,
3019,37.61,72.5,83,,,,,,,,,,,,,,,,
2923,45.72,79,81,,,,,,,,,,,,,,,,
2958,46.83,83,85,,,,,,,,,,,,,,,,
2957,47.2,82.5,84.5,,,,,,,,,,,,,,,,
2953,47.2,84,86.5,,,,,,,,,,,,,,,,
2958,46.83,83,85,,,,,,,,,,,,,,,,
2966,46.83,84,85,,,,,,,,,,,,,,,,
2968,49.04,84.5,85.5,,,,,,,,,,,,,,,,
2976,50.89,86,87.5,,,,,,,,,,,,,,,,
2983,52,86,87,,,,,,,,,,,,,,,,
2990,51.63,84.5,85.5,,,,,,,,,,,,,,,,
2996,52,84.5,85,,,,,,,,,,,,,,,,
2996,51.63,84.5,85,,,,,,,,,,,,,,,,
3009,51.63,84.5,84.5,,,,,,,,,,,,,,,,
3009,51.63,84.5,85.5,,,,,,,,,,,,,,,,
3025,50.89,84.5,86.5,,,,,,,,,,,,,,,,
3022,51.26,84.5,86.5,,,,,,,,,,,,,,,,
3036,51.26,84,86.5,,,,,,,,,,,,,,,,
3042,51.63,84,86.5,,,,,,,,,,,,,,,,
3045,51.63,84,86,,,,,,,,,,,,,,,,
3051,50.89,83,86.5,,,,,,,,,,,,,,,,
3064,50.89,82.5,85,,,,,,,,,,,,,,,,
3061,51.26,84,86.5,,,,,,,,,,,,,,,,
3070,50.52,83,86.5,,,,,,,,,,,,,,,,
3076,50.52,83,87,,,,,,,,,,,,,,,,
3080,50.52,82.5,86.5,,,,,,,,,,,,,,,,
3088,50.52,82,86,,,,,,,,,,,,,,,,
3093,50.89,82.5,86,,,,,,,,,,,,,,,,
3099,50.52,82,86,,,,,,,,,,,,,,,,
3109,50.52,82,86.5,,,,,,,,,,,,,,,,
3106,50.15,81.5,86,,,,,,,,,,,,,,,,
3115,47.57,81,86.5,,,,,,,,,,,,,,,,
3115,45.35,80.5,84.5,,,,,,,,,,,,,,,,
3119,44.62,79.5,86,,,,,,,,,,,,,,,,
3125,44.25,80,84.5,,,,,,,,,,,,,,,,
3121,43.14,80.5,85,,,,,,,,,,,,,,,,
3128,43.14,80,85,,,,,,,,,,,,,,,,
3128,42.77,80,85,,,,,,,,,,,,,,,,
3133,42.4,80.5,85,,,,,,,,,,,,,,,,
3127,42.4,80.5,85,,,,,,,,,,,,,,,,
3141,42.4,80,86,,,,,,,,,,,,,,,,
3141,42.03,80.5,85,,,,,,,,,,,,,,,,
3139,42.4,80,85,,,,,,,,,,,,,,,,
3144,42.4,80,85,,,,,,,,,,,,,,,,
3140,42.4,80,84.5,,,,,,,,,,,,,,,,
3139,42.03,80,86,,,,,,,,,,,,,,,,
3150,42.4,80.5,85,,,,,,,,,,,,,,,,
3142,42.4,81.5,85,,,,,,,,,,,,,,,,
3157,42.4,80.5,86,,,,,,,,,,,,,,,,
3146,42.4,80,86,,,,,,,,,,,,,,,,
3154,42.4,80.5,85,,,,,,,,,,,,,,,,
3160,42.03,80.5,86,,,,,,,,,,,,,,,,
3155,42.4,80.5,85,,,,,,,,,,,,,,,,
3164,42.4,80.5,86,,,,,,,,,,,,,,,,
3167,41.67,80,86.5,,,,,,,,,,,,,,,,
3163,42.03,80,85,,,,,,,,,,,,,,,,
3166,42.03,80.5,84.5,,,,,,,,,,,,,,,,
3165,42.03,80.5,85,,,,,,,,,,,,,,,,
3174,41.67,80.5,84.5,,,,,,,,,,,,,,,,
3176,42.03,79.5,85,,,,,,,,,,,,,,,,
3171,42.03,80,85,,,,,,,,,,,,,,,,
3180,41.67,79.5,85.5,,,,,,,,,,,,,,,,
3174,42.03,80,85,,,,,,,,,,,,,,,,
3186,41.67,79.5,85.5,,,,,,,,,,,,,,,,
3184,42.03,79.5,84.5,,,,,,,,,,,,,,,,
3188,42.03,79.5,85.5,,,,,,,,,,,,,,,,
3182,42.03,80,86.5,,,,,,,,,,,,,,,,
3193,41.67,80,85,,,,,,,,,,,,,,,,
3186,42.03,80,85,,,,,,,,,,,,,,,,
3194,42.03,79,84.5,,,,,,,,,,,,,,,,
3192,41.3,78.5,86.5,,,,,,,,,,,,,,,,
3201,41.67,79.5,85.5,,,,,,,,,,,,,,,,
3197,41.67,79,85.5,,,,,,,,,,,,,,,,
3204,41.67,79,85,,,,,,,,,,,,,,,,
3206,41.67,79,85.5,,,,,,,,,,,,,,,,
3204,42.03,79.5,86,,,,,,,,,,,,,,,,
3209,41.67,79.5,85.5,,,,,,,,,,,,,,,,
3215,41.67,79.5,85.5,,,,,,,,,,,,,,,,
3208,41.67,79,85.5,,,,,,,,,,,,,,,,
3208,41.67,79,85.5,,,,,,,,,,,,,,,,
3216,41.3,79,85.5,,,,,,,,,,,,,,,,
3213,41.3,78.5,85,,,,,,,,,,,,,,,,
3221,41.3,78.5,85.5,,,,,,,,,,,,,,,,
3221,41.3,78.5,85.5,,,,,,,,,,,,,,,,
3210,40.93,79,85.5,,,,,,,,,,,,,,,,
3216,36.87,75.5,84.5,,,,,,,,,,,,,,,,
3218,36.87,75,83,,,,,,,,,,,,,,,,
3214,36.5,77.5,81.5,,,,,,,,,,,,,,,,
3217,36.5,77,83,,,,,,,,,,,,,,,,
3214,36.13,75.5,83,,,,,,,,,,,,,,,,
3208,36.5,75.5,82.5,,,,,,,,,,,,,,,,
3214,36.5,75.5,82.5,,,,,,,,,,,,,,,,
3209,36.13,76,81.5,,,,,,,,,,,,,,,,
3207,36.5,75.5,83,,,,,,,,,,,,,,,,
3213,36.5,75.5,83,,,,,,,,,,,,,,,,
3200,36.5,76,83,,,,,,,,,,,,,,,,
3208,35.76,77,82.5,,,,,,,,,,,,,,,,
3206,36.13,76,83.5,,,,,,,,,,,,,,,,
3201,36.13,75,83,,,,,,,,,,,,,,,,
3208,35.76,76,83,,,,,,,,,,,,,,,,
3202,36.13,76,82.5,,,,,,,,,,,,,,,,
3203,36.13,75.5,83,,,,,,,,,,,,,,,,
3198,36.5,76,82.5,,,,,,,,,,,,,,,,
3204,36.13,76.5,82.5,,,,,,,,,,,,,,,,
3198,36.5,76,83,,,,,,,,,,,,,,,,
3202,36.5,77,83,,,,,,,,,,,,,,,,
3195,36.5,76,83,,,,,,,,,,,,,,,,
3192,36.5,76,83,,,,,,,,,,,,,,,,
3191,36.13,77,83,,,,,,,,,,,,,,,,
3205,35.76,76.5,82.5,,,,,,,,,,,,,,,,
3194,36.13,77,83,,,,,,,,,,,,,,,,
3190,35.76,76.5,83,,,,,,,,,,,,,,,,
3191,36.13,76.5,83,,,,,,,,,,,,,,,,
3197,35.76,76,83,,,,,,,,,,,,,,,,
3187,35.39,76.5,83,,,,,,,,,,,,,,,,
3190,35.76,76,82.5,,,,,,,,,,,,,,,,
3189,35.39,75.5,82.5,,,,,,,,,,,,,,,,
3183,35.76,76.5,81.5,,,,,,,,,,,,,,,,
3180,35.76,76,81.5,,,,,,,,,,,,,,,,
3184,35.39,76.5,81.5,,,,,,,,,,,,,,,,
3185,35.76,76,81.5,,,,,,,,,,,,,,,,
3179,35.39,76.5,82.5,,,,,,,,,,,,,,,,
3183,35.39,75,81.5,,,,,,,,,,,,,,,,
3178,35.39,77.5,82.5,,,,,,,,,,,,,,,,
3164,35.76,76.5,81.5,,,,,,,,,,,,,,,,
3183,35.39,76,82.5,,,,,,,,,,,,,,,,
3161,35.76,76,81.5,,,,,,,,,,,,,,,,
3175,35.76,76.5,82.5,,,,,,,,,,,,,,,,
3170,35.39,76,81.5,,,,,,,,,,,,,,,,
3168,35.76,77,81.5,,,,,,,,,,,,,,,,
3165,35.39,76,82.5,,,,,,,,,,,,,,,,
3171,35.02,75.5,81.5,,,,,,,,,,,,,,,,
3161,35.39,76,81,,,,,,,,,,,,,,,,
3163,35.02,75.5,81,,,,,,,,,,,,,,,,
3158,34.65,75.5,81,,,,,,,,,,,,,,,,
3167,34.65,75,81,,,,,,,,,,,,,,,,
3158,34.28,75,80,,,,,,,,,,,,,,,,
3155,34.28,75,80,,,,,,,,,,,,,,,,
3156,34.28,75,81,,,,,,,,,,,,,,,,
3152,34.28,75.5,80,,,,,,,,,,,,,,,,
3146,34.65,75,81.5,,,,,,,,,,,,,,,,
3156,34.28,75.5,82,,,,,,,,,,,,,,,,
3137,34.65,76.5,82,,,,,,,,,,,,,,,,
3150,34.65,75.5,81,,,,,,,,,,,,,,,,
3153,34.28,75,82,,,,,,,,,,,,,,,,
3138,34.28,76,81,,,,,,,,,,,,,,,,
3134,34.28,77,80.5,,,,,,,,,,,,,,,,
3140,33.92,77,80.5,,,,,,,,,,,,,,,,
3123,33.92,74,81,,,,,,,,,,,,,,,,
3144,32.81,74,79.5,,,,,,,,,,,,,,,,
3111,33.18,74,78.5,,,,,,,,,,,,,,,,
3132,32.81,74.5,79.5,,,,,,,,,,,,,,,,
3116,33.18,74.5,79.5,,,,,,,,,,,,,,,,
3112,33.18,74,80.5,,,,,,,,,,,,,,,,
3109,33.18,74.5,80.5,,,,,,,,,,,,,,,,
3113,33.18,75,79.5,,,,,,,,,,,,,,,,
3103,33.55,74.5,79.5,,,,,,,,,,,,,,,,
3107,33.18,74.5,79,,,,,,,,,,,,,,,,
3104,32.81,74,79.5,,,,,,,,,,,,,,,,
3104,33.18,74.5,79.5,,,,,,,,,,,,,,,,
3096,33.18,75.5,79,,,,,,,,,,,,,,,,
3097,33.18,74.5,78.5,,,,,,,,,,,,,,,,
3088,33.55,74.5,79,,,,,,,,,,,,,,,,
3093,33.18,74,78.5,,,,,,,,,,,,,,,,
3094,33.18,75,79.5,,,,,,,,,,,,,,,,
3081,33.55,75,80,,,,,,,,,,,,,,,,
3102,33.18,75,79.5,,,,,,,,,,,,,,,,
3075,33.18,75.5,79.5,,,,,,,,,,,,,,,,
3083,33.55,75.5,80,,,,,,,,,,,,,,,,
3076,33.18,75,79.5,,,,,,,,,,,,,,,,
3087,33.55,76,80,,,,,,,,,,,,,,,,
3062,33.55,76.5,81,,,,,,,,,,,,,,,,
3080,33.18,75.5,80,,,,,,,,,,,,,,,,
3069,33.18,76,79,,,,,,,,,,,,,,,,
3068,33.55,75.5,80,,,,,,,,,,,,,,,,
3074,33.55,75.5,80.5,,,,,,,,,,,,,,,,
3053,33.55,76,80.5,,,,,,,,,,,,,,,,
3072,33.55,75,81,,,,,,,,,,,,,,,,
3060,33.55,75.5,80,,,,,,,,,,,,,,,,
3063,33.55,76.5,80,,,,,,,,,,,,,,,,
3051,33.55,75,80,,,,,,,,,,,,,,,,
3056,33.55,76.5,81,,,,,,,,,,,,,,,,
3039,33.92,76,79.5,,,,,,,,,,,,,,,,
3060,33.55,76.5,79.5,,,,,,,,,,,,,,,,
3040,33.92,77,80,,,,,,,,,,,,,,,,
3041,33.92,76,81,,,,,,,,,,,,,,,,
3045,33.92,77,81,,,,,,,,,,,,,,,,
3041,33.55,75.5,80.5,,,,,,,,,,,,,,,,
3041,33.92,75.5,79.5,,,,,,,,,,,,,,,,
3038,35.39,77,81.5,,,,,,,,,,,,,,,,
3038,35.76,78.5,82,,,,,,,,,,,,,,,,
3040,36.13,78,82.5,,,,,,,,,,,,,,,,
3041,36.87,79.5,83,,,,,,,,,,,,,,,,
3047,37.97,81,83,,,,,,,,,,,,,,,,
3036,38.34,80,84.5,,,,,,,,,,,,,,,,
3045,38.71,80,83.5,,,,,,,,,,,,,,,,
3041,38.71,80.5,83.5,,,,,,,,,,,,,,,,
3039,38.71,79,83.5,,,,,,,,,,,,,,,,
3044,38.71,79.5,83.5,,,,,,,,,,,,,,,,
3041,38.71,80,84,,,,,,,,,,,,,,,,
3045,39.08,81,83,,,,,,,,,,,,,,,,
3052,39.08,80.5,84,,,,,,,,,,,,,,,,
3045,39.45,81.5,84,,,,,,,,,,,,,,,,
3052,39.82,81,84,,,,,,,,,,,,,,,,
3040,40.19,81,84,,,,,,,,,,,,,,,,
3054,40.19,80.5,84.5,,,,,,,,,,,,,,,,
3054,40.19,80.5,84.5,,,,,,,,,,,,,,,,
3052,39.82,79,83.5,,,,,,,,,,,,,,,,
3053,39.82,79.5,84,,,,,,,,,,,,,,,,
3052,39.82,80,83.5,,,,,,,,,,,,,,,,
3065,39.82,81,84,,,,,,,,,,,,,,,,
3053,40.19,80.5,83.5,,,,,,,,,,,,,,,,
3068,39.82,80.5,84.5,,,,,,,,,,,,,,,,
3061,40.19,79.5,84,,,,,,,,,,,,,,,,
3064,39.82,79,83.5,,,,,,,,,,,,,,,,
3063,40.19,80,83.5,,,,,,,,,,,,,,,,
3072,40.19,79.5,83.5,,,,,,,,,,,,,,,,
3061,39.82,79.5,83,,,,,,,,,,,,,,,,
3073,39.82,80,83.5,,,,,,,,,,,,,,,,
3070,39.82,81,83.5,,,,,,,,,,,,,,,,
3074,39.82,80,83.5,,,,,,,,,,,,,,,,
3070,39.82,80,85,,,,,,,,,,,,,,,,
3081,39.45,79.5,85,,,,,,,,,,,,,,,,
3081,39.82,79.5,83.5,,,,,,,,,,,,,,,,
3076,39.45,80.5,85,,,,,,,,,,,,,,,,
3085,39.82,79,84,,,,,,,,,,,,,,,,
3078,39.82,80,83.5,,,,,,,,,,,,,,,,
3082,39.45,80.5,85,,,,,,,,,,,,,,,,
3084,39.82,79.5,83,,,,,,,,,,,,,,,,
3085,39.45,81,84,,,,,,,,,,,,,,,,
3082,40.19,81,84,,,,,,,,,,,,,,,,
3081,39.82,79.5,83.5,,,,,,,,,,,,,,,,
3092,39.82,79.5,83.5,,,,,,,,,,,,,,,,
3088,39.82,79.5,83,,,,,,,,,,,,,,,,
3096,39.45,80,83.5,,,,,,,,,,,,,,,,
3092,39.08,80.5,83.5,,,,,,,,,,,,,,,,
3093,39.82,79,83.5,,,,,,,,,,,,,,,,
3092,39.82,78.5,83.5,,,,,,,,,,,,,,,,
3096,39.82,79,83.5,,,,,,,,,,,,,,,,
3094,39.82,79,83,,,,,,,,,,,,,,,,
3097,39.45,79.5,83,,,,,,,,,,,,,,,,
3097,39.45,79,83.5,,,,,,,,,,,,,,,,
3102,39.45,78.5,84.5,,,,,,,,,,,,,,,,
3103,39.45,79,83.5,,,,,,,,,,,,,,,,
3106,39.45,78.5,83,,,,,,,,,,,,,,,,
3098,39.45,78,83.5,,,,,,,,,,,,,,,,
3109,39.45,78.5,84.5,,,,,,,,,,,,,,,,
3101,39.45,80,83.5,,,,,,,,,,,,,,,,
3105,39.45,79.5,83,,,,,,,,,,,,,,,,
3102,39.45,78.5,83.5,,,,,,,,,,,,,,,,
3103,39.45,79,83.5,,,,,,,,,,,,,,,,
3103,39.82,80.5,84.5,,,,,,,,,,,,,,,,
3112,39.45,79,83.5,,,,,,,,,,,,,,,,
3120,41.67,79,83,,,,,,,,,,,,,,,,
3116,44.62,82,83,,,,,,,,,,,,,,,,
3112,44.99,81.5,84.5,,,,,,,,,,,,,,,,
3122,44.62,80,84,,,,,,,,,,,,,,,,
3116,44.99,80,84.5,,,,,,,,,,,,,,,,
3129,44.25,80.5,85.5,,,,,,,,,,,,,,,,
3128,44.62,81,85.5,,,,,,,,,,,,,,,,
3130,44.62,82.5,86,,,,,,,,,,,,,,,,
3131,44.62,81,86,,,,,,,,,,,,,,,,
3136,44.25,81.5,86,,,,,,,,,,,,,,,,
3148,44.62,81,86,,,,,,,,,,,,,,,,
3142,44.62,82.5,86,,,,,,,,,,,,,,,,
3141,44.25,81.5,85.5,,,,,,,,,,,,,,,,
3148,44.25,81,86,,,,,,,,,,,,,,,,
3141,44.62,80.5,86,,,,,,,,,,,,,,,,
3153,44.62,81.5,87.5,,,,,,,,,,,,,,,,
3148,44.25,81.5,86,,,,,,,,,,,,,,,,
3160,44.25,81.5,85.5,,,,,,,,,,,,,,,,
3142,44.25,81.5,86.5,,,,,,,,,,,,,,,,
3155,44.25,82,86.5,,,,,,,,,,,,,,,,
3156,44.99,80.5,86,,,,,,,,,,,,,,,,
3160,44.62,80.5,86,,,,,,,,,,,,,,,,
3162,44.99,81.5,86,,,,,,,,,,,,,,,,
3160,44.62,80.5,86,,,,,,,,,,,,,,,,
3169,44.62,81.5,86,,,,,,,,,,,,,,,,
3167,44.62,81.5,86.5,,,,,,,,,,,,,,,,
3160,44.62,80.5,86,,,,,,,,,,,,,,,,
3175,44.62,80.5,86,,,,,,,,,,,,,,,,
3179,44.62,80.5,86,,,,,,,,,,,,,,,,
3180,46.46,81,86,,,,,,,,,,,,,,,,
3174,47.94,83,88,,,,,,,,,,,,,,,,
3183,47.57,81.5,87.5,,,,,,,,,,,,,,,,
3171,47.94,81.5,87,,,,,,,,,,,,,,,,
3187,47.94,81.5,87.5,,,,,,,,,,,,,,,,
3177,47.94,81.5,88,,,,,,,,,,,,,,,,
3193,47.57,81.5,88,,,,,,,,,,,,,,,,
3190,48.68,81.5,88,,,,,,,,,,,,,,,,
3193,50.89,83,89,,,,,,,,,,,,,,,,
3187,51.63,83.5,88,,,,,,,,,,,,,,,,
3207,52,83,88,,,,,,,,,,,,,,,,
3198,52.73,83,88,,,,,,,,,,,,,,,,
3208,53.1,83.5,89,,,,,,,,,,,,,,,,
3207,54.95,83.5,90,,,,,,,,,,,,,,,,
3211,53.84,83.5,90,,,,,,,,,,,,,,,,
3215,54.58,82.5,88,,,,,,,,,,,,,,,,
3216,54.58,82.5,89,,,,,,,,,,,,,,,,
3220,54.58,83.5,89,,,,,,,,,,,,,,,,
3228,54.58,82.5,89,,,,,,,,,,,,,,,,
3226,54.21,83.5,89.5,,,,,,,,,,,,,,,,
3230,53.84,82.5,89.5,,,,,,,,,,,,,,,,
3236,53.84,83.5,89.5,,,,,,,,,,,,,,,,
3238,53.84,83.5,89.5,,,,,,,,,,,,,,,,
3243,53.47,82.5,89.5,,,,,,,,,,,,,,,,
3248,53.47,82,89.5,,,,,,,,,,,,,,,,
3253,53.47,81.5,89,,,,,,,,,,,,,,,,
3254,53.84,81,90,,,,,,,,,,,,,,,,
3257,53.84,82,90,,,,,,,,,,,,,,,,
3259,54.21,83,90,,,,,,,,,,,,,,,,
3264,53.47,83,89,,,,,,,,,,,,,,,,
3271,53.47,83,90,,,,,,,,,,,,,,,,
3270,52.37,81,88.5,,,,,,,,,,,,,,,,
3280,52.37,81.5,89,,,,,,,,,,,,,,,,
3281,52,81.5,89.5,,,,,,,,,,,,,,,,
3285,52.73,81,89.5,,,,,,,,,,,,,,,,
3290,52.37,81.5,90,,,,,,,,,,,,,,,,
3292,52.73,81.5,90,,,,,,,,,,,,,,,,
3294,52.37,82.5,89.5,,,,,,,,,,,,,,,,
3301,51.63,81.5,90,,,,,,,,,,,,,,,,
3302,52,81.5,90,,,,,,,,,,,,,,,,
3303,52,82.5,90,,,,,,,,,,,,,,,,
3310,52,80.5,90,,,,,,,,,,,,,,,,
3313,50.52,80.5,89.5,,,,,,,,,,,,,,,,
3306,47.94,80.5,90,,,,,,,,,,,,,,,,
3310,43.14,78.5,90,,,,,,,,,,,,,,,,
3307,42.4,78.5,88,,,,,,,,,,,,,,,,
3314,42.77,79.5,89.5,,,,,,,,,,,,,,,,
3308,42.4,79,88.5,,,,,,,,,,,,,,,,
3312,42.77,79,87.5,,,,,,,,,,,,,,,,
3317,42.77,77.5,86,,,,,,,,,,,,,,,,
3311,42.77,77,86,,,,,,,,,,,,,,,,
3311,42.77,78,86.5,,,,,,,,,,,,,,,,
3312,41.67,78.5,86,,,,,,,,,,,,,,,,
3310,40.93,76.5,87,,,,,,,,,,,,,,,,
3308,40.93,76.5,86,,,,,,,,,,,,,,,,
3311,40.56,77.5,86,,,,,,,,,,,,,,,,
3302,40.56,77,86,,,,,,,,,,,,,,,,
3303,39.82,76.5,85,,,,,,,,,,,,,,,,
3299,38.71,75.5,85,,,,,,,,,,,,,,,,
3304,38.71,75.5,84,,,,,,,,,,,,,,,,
3314,43.88,78.5,83.5,,,,,,,,,,,,,,,,
3317,48.31,80.5,86.5,,,,,,,,,,,,,,,,
3309,50.52,79.5,87,,,,,,,,,,,,,,,,
3321,50.52,80,88.5,,,,,,,,,,,,,,,,
3327,50.52,82,89.5,,,,,,,,,,,,,,,,
3335,51.63,82.5,89.5,,,,,,,,,,,,,,,,
3350,53.1,83,90.5,,,,,,,,,,,,,,,,
3342,54.58,83,91,,,,,,,,,,,,,,,,
3348,55.32,81.5,90.5,,,,,,,,,,,,,,,,
3363,55.69,83,91,,,,,,,,,,,,,,,,
3370,54.58,82.5,90.5,,,,,,,,,,,,,,,,
3375,54.95,82.5,91.5,,,,,,,,,,,,,,,,
3388,53.84,83,92.5,,,,,,,,,,,,,,,,
3380,54.58,83,92.5,,,,,,,,,,,,,,,,
3396,54.21,83,92,,,,,,,,,,,,,,,,
3403,53.47,84,92,,,,,,,,,,,,,,,,
3409,53.84,83.5,93,,,,,,,,,,,,,,,,
3409,53.84,84,93.5,,,,,,,,,,,,,,,,
3416,53.84,83.5,93,,,,,,,,,,,,,,,,
